instant,dates,season,years,months,hours,holiday,day_a_week,weathersit,temp,atemp,hum,windspeed,casual,registered,total,days_category,hum_category
1,2011-01-01,Winter,2011,Jan,0,Not,Sat,Clear,0.24,0.2879,0.81,0.0,3,13,16,Weekend,Too Moist
2,2011-01-01,Winter,2011,Jan,1,Not,Sat,Clear,0.22,0.2727,0.8,0.0,8,32,40,Weekend,Too Moist
3,2011-01-01,Winter,2011,Jan,2,Not,Sat,Clear,0.22,0.2727,0.8,0.0,5,27,32,Weekend,Too Moist
4,2011-01-01,Winter,2011,Jan,3,Not,Sat,Clear,0.24,0.2879,0.75,0.0,3,10,13,Weekend,Too Moist
5,2011-01-01,Winter,2011,Jan,4,Not,Sat,Clear,0.24,0.2879,0.75,0.0,0,1,1,Weekend,Too Moist
6,2011-01-01,Winter,2011,Jan,5,Not,Sat,Misty,0.24,0.2576,0.75,0.0896,0,1,1,Weekend,Too Moist
7,2011-01-01,Winter,2011,Jan,6,Not,Sat,Clear,0.22,0.2727,0.8,0.0,2,0,2,Weekend,Too Moist
8,2011-01-01,Winter,2011,Jan,7,Not,Sat,Clear,0.2,0.2576,0.86,0.0,1,2,3,Weekend,Too Moist
9,2011-01-01,Winter,2011,Jan,8,Not,Sat,Clear,0.24,0.2879,0.75,0.0,1,7,8,Weekend,Too Moist
10,2011-01-01,Winter,2011,Jan,9,Not,Sat,Clear,0.32,0.3485,0.76,0.0,8,6,14,Weekend,Too Moist
11,2011-01-01,Winter,2011,Jan,10,Not,Sat,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Weekend,Too Moist
12,2011-01-01,Winter,2011,Jan,11,Not,Sat,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Weekend,Too Moist
13,2011-01-01,Winter,2011,Jan,12,Not,Sat,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Weekend,Too Moist
14,2011-01-01,Winter,2011,Jan,13,Not,Sat,Misty,0.46,0.4545,0.72,0.2985,47,47,94,Weekend,Too Moist
15,2011-01-01,Winter,2011,Jan,14,Not,Sat,Misty,0.46,0.4545,0.72,0.2836,35,71,106,Weekend,Too Moist
16,2011-01-01,Winter,2011,Jan,15,Not,Sat,Misty,0.44,0.4394,0.77,0.2985,40,70,110,Weekend,Too Moist
17,2011-01-01,Winter,2011,Jan,16,Not,Sat,Misty,0.42,0.4242,0.82,0.2985,41,52,93,Weekend,Too Moist
18,2011-01-01,Winter,2011,Jan,17,Not,Sat,Misty,0.44,0.4394,0.82,0.2836,15,52,67,Weekend,Too Moist
19,2011-01-01,Winter,2011,Jan,18,Not,Sat,Light_Rain,0.42,0.4242,0.88,0.2537,9,26,35,Weekend,Too Moist
20,2011-01-01,Winter,2011,Jan,19,Not,Sat,Light_Rain,0.42,0.4242,0.88,0.2537,6,31,37,Weekend,Too Moist
21,2011-01-01,Winter,2011,Jan,20,Not,Sat,Misty,0.4,0.4091,0.87,0.2537,11,25,36,Weekend,Too Moist
22,2011-01-01,Winter,2011,Jan,21,Not,Sat,Misty,0.4,0.4091,0.87,0.194,3,31,34,Weekend,Too Moist
23,2011-01-01,Winter,2011,Jan,22,Not,Sat,Misty,0.4,0.4091,0.94,0.2239,11,17,28,Weekend,Too Moist
24,2011-01-01,Winter,2011,Jan,23,Not,Sat,Misty,0.46,0.4545,0.88,0.2985,15,24,39,Weekend,Too Moist
25,2011-01-02,Winter,2011,Jan,0,Not,Sun,Misty,0.46,0.4545,0.88,0.2985,4,13,17,Weekend,Too Moist
26,2011-01-02,Winter,2011,Jan,1,Not,Sun,Misty,0.44,0.4394,0.94,0.2537,1,16,17,Weekend,Too Moist
27,2011-01-02,Winter,2011,Jan,2,Not,Sun,Misty,0.42,0.4242,1.0,0.2836,1,8,9,Weekend,Too Moist
28,2011-01-02,Winter,2011,Jan,3,Not,Sun,Misty,0.46,0.4545,0.94,0.194,2,4,6,Weekend,Too Moist
29,2011-01-02,Winter,2011,Jan,4,Not,Sun,Misty,0.46,0.4545,0.94,0.194,2,1,3,Weekend,Too Moist
30,2011-01-02,Winter,2011,Jan,6,Not,Sun,Light_Rain,0.42,0.4242,0.77,0.2985,0,2,2,Weekend,Too Moist
31,2011-01-02,Winter,2011,Jan,7,Not,Sun,Misty,0.4,0.4091,0.76,0.194,0,1,1,Weekend,Too Moist
32,2011-01-02,Winter,2011,Jan,8,Not,Sun,Light_Rain,0.4,0.4091,0.71,0.2239,0,8,8,Weekend,Too Moist
33,2011-01-02,Winter,2011,Jan,9,Not,Sun,Misty,0.38,0.3939,0.76,0.2239,1,19,20,Weekend,Too Moist
34,2011-01-02,Winter,2011,Jan,10,Not,Sun,Misty,0.36,0.3485,0.81,0.2239,7,46,53,Weekend,Too Moist
35,2011-01-02,Winter,2011,Jan,11,Not,Sun,Misty,0.36,0.3333,0.71,0.2537,16,54,70,Weekend,Too Moist
36,2011-01-02,Winter,2011,Jan,12,Not,Sun,Misty,0.36,0.3333,0.66,0.2985,20,73,93,Weekend,Too Moist
37,2011-01-02,Winter,2011,Jan,13,Not,Sun,Misty,0.36,0.3485,0.66,0.1343,11,64,75,Weekend,Too Moist
38,2011-01-02,Winter,2011,Jan,14,Not,Sun,Light_Rain,0.36,0.3485,0.76,0.194,4,55,59,Weekend,Too Moist
39,2011-01-02,Winter,2011,Jan,15,Not,Sun,Light_Rain,0.34,0.3333,0.81,0.1642,19,55,74,Weekend,Too Moist
40,2011-01-02,Winter,2011,Jan,16,Not,Sun,Light_Rain,0.34,0.3333,0.71,0.1642,9,67,76,Weekend,Too Moist
41,2011-01-02,Winter,2011,Jan,17,Not,Sun,Clear,0.34,0.3333,0.57,0.194,7,58,65,Weekend,Ideal
42,2011-01-02,Winter,2011,Jan,18,Not,Sun,Misty,0.36,0.3333,0.46,0.3284,10,43,53,Weekend,Ideal
43,2011-01-02,Winter,2011,Jan,19,Not,Sun,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Weekend,Too Dry
44,2011-01-02,Winter,2011,Jan,20,Not,Sun,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Weekend,Too Dry
45,2011-01-02,Winter,2011,Jan,21,Not,Sun,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Weekend,Too Dry
46,2011-01-02,Winter,2011,Jan,22,Not,Sun,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Weekend,Too Dry
47,2011-01-02,Winter,2011,Jan,23,Not,Sun,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Weekend,Ideal
48,2011-01-03,Winter,2011,Jan,0,Not,Mon,Clear,0.22,0.197,0.44,0.3582,0,5,5,Weekday,Too Dry
49,2011-01-03,Winter,2011,Jan,1,Not,Mon,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Weekday,Too Dry
50,2011-01-03,Winter,2011,Jan,4,Not,Mon,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Weekday,Ideal
51,2011-01-03,Winter,2011,Jan,5,Not,Mon,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Weekday,Ideal
52,2011-01-03,Winter,2011,Jan,6,Not,Mon,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Weekday,Ideal
53,2011-01-03,Winter,2011,Jan,7,Not,Mon,Clear,0.14,0.1364,0.5,0.194,1,63,64,Weekday,Ideal
